source_index,uncommonsense_context,commonsense_context,outcome
33,"Aliza had a long lost ex-boyfriend she was bound to find. The problem was, he moved to a new state. She decided to use Facebook to find him. She found him, but he was married with kids.","Aliza had a long lost ex-boyfriend she was bound to find. The problem was, he moved to a new state. She decided to use Facebook to find him. She found him, and turns out he was still single and moving back to the state she was in.",He fell in love with Aliza and they were married.
35,"When I first moved into my house, I didn't know my neighbors. While mowing one day, I found a kickball in my yard. I felt this was the perfect opportunity to meet my neighbors. I grabbed the ball and went next door to return it.","When I first moved into my house, my neighbors broke my fence. While mowing one day, I found that they tossed a kickball in my yard. I felt this was the perfect opportunity for revenge. I grabbed the ball and went next door.",I threw the kickball through their closed window and it broke the window.
36,"Bev had been studying very hard. She couldn't wait for the weekend. When it came, she slept in very late. Then she got up and went out to party.","Bev had been studying very hard. She couldn't wait for the weekend. When it came, she slept in very late and decided to be a homebody and do some light chores for the rest of the day.","Bev got the mail and fed the fish, just like she did every day."
37,"Newly married, Sue liked to cook for her husband, Bob. Unfortunately Sue was a terrible cook. Bob ate her food anyway and told her it was good. On their first anniversary Bob gave Sue cooking lessons.","Newly married, Sue liked to cook for her husband, Bob. Her friends had found her a wonderful cook. But Bob insulted her cooking. On their first anniversary Bob gave Sue cooking lessons.",She never cooked for Bob again.
38,We checked out Frank Pepe's pizza shop three weeks ago. The chain is quite famous in Connecticut. The chain recently opened in Boston. We went early to beat the crowd.,We checked out Frank Pepe's pizza shop three weeks ago. The chain is quite famous in Connecticut. The chain recently opened in Boston. But when we got there no tables were available.,We skipped pizza and walked our dogs at the park across town.
39,"Bernice always wanted to travel to Africa. Bernice decided she would take a trip for her birthday next year. Bernice started to look at the price of airline tickets for the trip. In addition, Bernice booked hotels as well.","Bernice always wanted to travel to Europe. Bernice decided she would take a trip for her birthday next year. Bernice started to look at the price of airline tickets for the trip. In addition, Bernice booked hotels as well.",Bernice went to Europe for her birthday.
40,"Jim made red velvet cookies. He sold them for five dollars each. No one bought any. However, at the last minute a man wanted twenty.",Jim made red velvet cookies. He sold them for five dollars each. A man told Jim to just give him all his cookies for free.,Jim thought he was crazy and left.
43,"Anna went to the salon. She was getting her nails done for the first time. She was nervous, but the tech was friendly. He did her nails quickly but poorly.","Anna went to the salon. She was getting her nails done for the first time. She was nervous, but the tech was friendly. He did her nails quickly and expertly.",Anna really liked her new nails.
46,Priya decided to try a new restaurant. She drove to a new cafe that opened. Priya sat at a booth. She ordered a mimosa and a breakfast burrito.,Priya decided to try a new restaurant. She drove to a new cafe that opened. Priya sat at a booth. She decided the menu was not interesting and did not know what to order.,Priya decided not to eat and left.
47,"Karen was assigned a roommate her first year of college. One day, her roommate asked her to go to a nearby city for a concert. Karen agreed happily. The show was absolutely exhilarating.","Karen was assigned a roommate her first year of college. One day, her roommate asked her to go to a nearby city for a concert. Karen agreed reluctantly. The show was absolutely horrendous and insulting.",Karen disliked her roommate.
49,John's favorite watch had been broken for some time. He hadn't gotten together the money to fix it. His wife decided to take it to get fixed and pay for it. She gave it to him when he came home for work.,John's favorite watch had been broken for some time. He hadn't gotten together the money to fix it. His wife decided to undersell it without asking him. She gave it to him the money when he came home for work.,John was very upset with his wife.
51,"Eddie and Angela hadn't been talking to each other for a long time. They lived in their house together like strangers. Finally, they sat down and agreed, it was time for a divorce. Eddie went to the courthouse and filed the paperwork.","Eddie and Angela hadn't been talking to each other for a long time. They lived in their house together like strangers. Finally, they sat down and decided to chat and make amends.",They fell back in love and stayed together forever.
52,"Rachel adopted a cat over two years ago. Suddenly, the cat was acting more lethargic. Concerned, Rachel took her cat to the vet. The vet told Rachel that her cat had developed cancer.","Rachel adopted a cat over two years ago. Suddenly, the cat was acting more lethargic. Concerned, Rachel took her cat to the vet. The vet told Rachel that her cat was pregnant.",Rachel was excited to hear the news.
53,Jim is a new driver and has never been pulled over before. Yesterday he was pulled over for speeding. The officer explained to him why he was being given a ticket. Jim will have to work overtime to pay for the ticket.,Jim is a new driver and has never been pulled over before. Yesterday he was pulled over for speeding. The officer turned out to be Jim's old pal from college. The officer decided to only give Jim a verbal warning.,Jim was happy to see the officer.
55,David was an author that had trouble finding inspiration for his work. One day he had a dream of him being in a post apocalyptic world. He thought that this was destiny and began to write his thoughts. Eventually he had hundreds of pages written.,David was an author that had trouble finding inspiration for his work. One day he had a dream of him being in a post apocalyptic world. He thought that this was destiny and began to write his thoughts. He soon realized the story would be better told visually.,David then abandoned his writing and uploaded his new video.
58,"Jennifer felt her stomach grumble. She thought about the last time she ate and realized it was long ago. She got up off the couch and went into the kitchen. After cooking a big meal and eating it, she felt stuffed and ready to pass out.","Jennifer felt her stomach grumble. She thought about the last time she ate and realized it was long ago. She got up off the couch and went into the kitchen. She only had three eggs in the fridge, so she cooked all of them.",Jennifer wanted more food.
59,My friend Nathan and his family went to the lake one summer. One day Nathan's dad left and didn't leave a lighter for his mom. Well his mom was very upset and made him walk to the store barefoot. Poor Nathan had to walk down a gravel road to bring his mom matches.,"My friend Nathan and his family went to the lake one summer. One day his mom made him walk to the store barefoot. On his way to the store Nathan ran into his crush, Natalie, who was barefoot, too. They laughed and decided to walk together, enjoying the feeling of the earth beneath their feet.","When Nathan returned, he felt very happy for the exercise."
60,"Two young women decided to go for a ten mile run near the firest. Five miles into the run, they spotted a lone grey wolf with blue eyes. They tried to scare it away, but it kept moving toward them. The two women clambered up a tree and waited until the wolf left to climb back down the tree.","Two young women decided to go for a ten mile run near the firest. Five miles into the run, they spotted a lone grey wolf with blue eyes. They tried to scare it away, but it kept moving toward them. The two women panickedly raced up a steep incline with their eyes on the approaching wolf, not realizing that they had run off the ground.",The two women fell off the cliff.
61,Gary was a brave child. One day he decided to climb over the fence in his backyard. His parents looked all over for him. They found him sitting peacefully on the swing at the park.,"Gary was a brave child. One day he decided to climb over the fence in his backyard. His parents looked all over for him. They found him in a mess, covered in dirt with cuts on his arms at the park.",Gary's parents were disappointed to find him in this state.
62,Timmy was caught with unpaid parking tickets. He didn't have enough money to pay for them. Instead he had to be arrested and jailed for two days. He lost his jobs for missing work.,Timmy was caught with unpaid parking tickets. He didn't have enough money to pay for them. So he worked very hard at work to make extra money.,Timmy was promoted at work.
64,"Amber had a lot of things to do this Sunday. She made a list of all the places she needed to go. She set alarms and hurried to get ready. She was worried that she would not have enough time, and was eager to do everything quickly.","Amber had a lot of things to do this Sunday. She made a list of all the places she needed to go. Then, as if on cue, the weather turned bad, and she had to cancel her plans. She decided to treat herself instead.",Amber enjoyed a relaxing two hour brunch.
65,Eve needed a new couch in her parlor. But she could not afford to buy one! Then she went to a secondhand store and found a great one. She had it delivered and set up in her living room.,Eve needed a new couch in her parlor. But she could not afford to buy one! Then she went to a secondhand store. She had it delivered and then discovered it was very dirty.,She bought a new couch to replace the secondhand couch.
66,"Jason was terrified of spiders. He went to a therapist and discussed his fear. His therapist said he should confront his fear to overcome it. Jason's homework was to take a photo a spider in his basement, knowing there were spiders there. He managed to take a photo from afar but was already revolted by it.","Jason was terrified of spiders. He went to a therapist and discussed his fear. His therapist said he should confront his fear to overcome it. Jason decided to work out in the basement, knowing there were spiders there. After his workout, he was so sweaty and worried that he touched some cowebs.",Jason took a hot shower.
67,Linda began to have problems with a coworker at her job. The coworker had started bossing her around at work. The coworker even talked behind her back. Linda went to her boss with the issue and the boss mediated them.,"Linda began to have problems with a coworker at her job. The coworker had started bossing her around at work. The coworker even talked behind her back. Linda lost her temper and threatened the coworker, violating company policy.",Linda's boss fired Linda the next day.
68,Sara wanted her kids to have a great Christmas. She saved all year and started her shopping in November. She shopped deals and spent all her savings. She spent two days wrapping dozens of presents.,Sara wanted her kids to have a great Christmas. She saved all year and started her shopping in November. She shopped deals and spent all her savings. But her kids told her all they wanted was time with her.,Sara returned all of the presents.
69,"Megan has been struggling with a drug habit for years. She hit rock bottom when she lost her family and kids. Her distant family decided to stage an intervention. After the event, she got into a rehab facility and developed other interests.",Megan has been struggling with a drug habit for years. She hit rock bottom when she lost her family and kids. Her distant family decided to stage an intervention. She refused treatment and ran away from the rehab facility.,"When she came back, she did drugs all day."
70,"Tyler has been unemployed for years. He has spent the last few months diligently applying for work. However, all of his applications are rejected. The rejections contribute to Tyler's feelings of desperation.","Tyler has been unemployed for years. He has spent the last few months diligently applying for work. However, all of his applications are rejected. So he decided to start his own business.",He is thrilled about his new responsibilities in life.
71,"Miranda is married to Bob. Bob doesn't like that Miranda works so much, leaving the couple with very little time to interact everyday. Miranda tells Bob that she enjoys her career and won't quit no matter what he says. Bob gives Miranda an ultimatum.",Miranda is married to Bob. Bob likes that Miranda is a working woman. Miranda tells Bob that she enjoys her career and offers to be the breadwinner so he can pursue his passion for painting. Bob quits his job but needs money for his art supplies and exhibitions.,Miranda decides to take on a second job.
72,My cousins had a terrible experience with their babysitter. They had a hidden camera. They watched it recently. They found video of her shaking the baby violently. ,My cousins had a great experience with their babysitter. They had a hidden camera. They watched it recently. They found video of her caring for the baby tenderly.,They gave the babysitter a good review.
73,Bobby was having a birthday party. His friends bought him a huge cake. A woman jumped out of the cake - it was Bobby's girlfriend. Bobby was surprised and amused.,Bobby was having a birthday party. His friends bought him a huge cake. A woman jumped out of the cake - it was Bobby's ex girlfirend. Bobby's girlfriend got jealous and had a fight with him.,Bobby was mad at his friends.
74,It was the last day of our vacation. We were eating lunch on the patio of the hotel. We laughed and smiled because it was a great vacation. Then we packed our bags and drove to the airport.,It was the last day of our vacation. We were eating lunch on the patio of the hotel. We let out a sigh of relief because we were so done with this awful vacation. Then we packed our bags and drove to the airport.,We all vowed to never go back again.
75,Mother asked the children to help fold laundry. The children took the clean clothes into the living room. They dumped the clothes on the floor. They then folded the clothes neatly into piles.,Mother asked the children to help fold laundry. The children took the clean clothes into the living room. They dumped the clothes on the floor and stomped on them with their muddy shoes in protest.,The clothes were filthy and unfolded.
77,My daughter had her baby shower in our Boston home. She invited friends and family in the area. Her old college roommate lives in Hawaii. She decided to surprise my daughter by flying 4800 miles.,My daughter had her baby shower in our Boston home. She invited friends and family in the area. Her old college roommate lives in Hawaii. She decided to it was too far to travel to see my daughter.,My daughter was disappointed.
78,"Craig used to always go play darts. He would go to a local bar and try to hustle. He would first play poorly and act frustrated, as if he simply couldn't keep a straight face. He'd then complain about his luck and make bets with people for a drink or money.","Craig used to always go play darts. He would go to a local bar and try to hustle. He would first play poorly and act frustrated, as if he simply couldn't keep a straight face. He'd then complain about his luck and say, ""I'm better with cards anyway,"" to bait people into playing poker. ",Craig would then win the poker match without much trouble.
79,Pam's house was where the party was. Everyone bought gifts. Pam bought a cake. Everyone danced and had fun!,Pam's house was where the party was. Everyone bought gifts. Pam bought a half baked cake. Everyone decided to not eat the cake and dance instead.,Pam was a lousy hostess.
80,Ellen always hated school. The kids made fun of her every day. They called her smelly Elly. She decided to start taking baths.,"Ellen always hated school. The kids made fun of her every day. They called her smelly Elly, but to an aspiring influencer, no attention was bad attention.",Ellen liked the negative attention.
81,"Jim got his first credit card in college. He didn't have a job so he bought everything on his card. After he graduated he amounted a $10,000 debt. Jim realized that he was foolish to spend so much money, and didn't want to use credit cards anymore.","Jim got his first credit card in college. He didn't have a job so he bought everything on his card. After he graduated he amounted a $10,000 debt. He went on Reddit and learned how he could start a new card with 0% balance transfer and a sign-up bonus.",Jim decided to open another credit card.
82,Tim was entering a baking contest. He decided to make his famous donuts. He made a big batch and entered them into the contest. The judges thought they were delicious.,"Tim was entering a baking contest. He decided to make his famous donuts. He made a big batch and entered them into the contest, but he didn't reailze the milk he used for the donuts had gone bad.",The judges vomited from the taste of the donuts.
84,Holly was glad to be safely inside her house as the storm raged. She was watching the storm as she heard a loud crack. Lightning had hit a tree beside the house. She stared as she watched it fall.,"Holly was glad to be safely inside her house as the storm raged. She was watching the storm when she heard a loud cheer from outside. The sky had cleared, and her neighbors were already out playing in their backyards.",She went outside to fly a kite.
86,"Addie was working at the mall at Hollister when a strange man came in. Before she knew it, Addie looked behind her and saw stolen clothes. The man, seeing that she had caught him, began to panic and yell that he would hurt her if she didn't help him. Addie immediately screamed for help. Luckily guards came and arrested him.","Addie was working at the mall at Hollister when a strange man came in. Before she knew it, Addie looked behind her and saw stolen clothes. The man, seeing that she had caught him, began to panic and yell that he would hurt her if she didn't help him. Terrified, Addied helped him, but then guards came and arrested both of them.",Addie was put in jail for her crime.
87,"Sean was going for a job interview. He arrived at the business and asked for the manager. The manager took him to the back and interviewed him. Then, the manager showed him around and explained the job.",Sean was going for a job interview. He arrived at the business and asked for the manager. The manager took him to the back and interviewed him. The manager asked Sean if he had any questions. Sean asked all kinds of awkward and inappropriate personal questions which made the manager felt uncomfortable.,The manager hoped Sean would perform badly.
88,"Fred made a bet with Sam over who could lose more weight in a month. Fred really wanted to win the bet, which was for $100. Fred worked out daily, avoided fast food, and skipped dinner. At the end of the month Fred was feeling confident he would win.","Fred made a bet with Sam over who could lose more weight in a month. Fred really wanted to win the bet, which was for $100. Fred worked out daily, avoided fast food, and skipped dinner. Two weeks into the bet Fred was still not losing any weight.",Fred cancelled the bet at the end of the month.
89,John went skydiving for the first time. He went with an instructor on a plane into the air. He screamed when they jumped. John was terribly afraid of heights and passed out.,John went skydiving for the first time. He went with an instructor on a plane into the air. He screamed when they jumped. Then what he saw was breathtaking views of the mountains and lakes. He felt like a bird.,John loved the skydiving trip.
90,Gina and her family were leaving the park. They had been there all afternoon. Now they were going to her aunt's house. Gina begged to be dropped off at her grandma's instead.,Gina and her family were leaving the park. They had been there all afternoon. Now they were going to her aunt's house. Gina was forced to run tedious and unnecessary errands for her grandma.,Gina hated her grandma.
91,Kaya needed to buy a new dress for the upcoming Spring Formal. She went to the mall with several of her friends. The girls all had a good time visiting shops and trying on dresses. Kaya found a dress that she loved that was a nice coral color.,Kaya needed to buy a new dress for the upcoming Spring Formal. She went to the mall with several of her friends. The girls all had a good time visiting shops and trying on dresses. Kaya did not find a dress but was captivated by an old vase in a thrift store.,She couldn't resist so she bought the antique vase.
92,Tyler wanted to have a balloon party with tons of balloons. He and his friends and his parents blew up the balloons. He and his friends played with the balloons and had a lot of fun. They got tired and watched a movie and had dinner.,"Tyler wanted to have a balloon party with tons of balloons. He and his friends and his parents blew up the balloons. He and his friends played with the balloons and had a lot of fun. But his parents told Tyler and his friends to clean up shortly after, dismissing his requests to order food and watch movies.",Tyler felt like his parents never let him do anything.
93,Jimmy went skateboarding this afternoon. It was the third time this week. He's getting good at it and really likes it. He fell once but hasn't given up on skateboarding.,"Jimmy went skateboarding this afternoon. It was the third time this week. He's getting good at it and really likes it. Then he fell and broke his leg, and decided skateboarding was too dangerous.",Jimmy has decided to give away his skateboard.
94,Maxine usually hates to shave her legs. She doesn't like the feeling of using a razor. One night Maxine has a big date and decides to wear a dress. She shaves her legs for the occasion.,Maxine usually hates to shave her legs. She doesn't like the feeling of using a razor. One night Maxine has a big date and decides to wear a dress. Her date tells her that he doesn't want to see her hairy legs in the dress.,Maxine doesn't want to go on the date.
95,"Ryan loved to customize his bike. He decided to add some LED lights to the bike frame and wheels. He ordered the parts from eBay. When they arrived, he assembled them and his bike looked better than ever.",Ryan loved to customize his bike. He decided to add some LED lights to the bike frame and wheels. He ordered the parts from eBay. But the lights malfunctioned and destroyed the bike's electrical system.,Ryan decided not to ride his bike anymore.
96,One day I wanted to cook a nice dinner for my family. I decided to cook spaghetti. I boiled the noodles and put the sauce in a pot on the stove. I turned the stove on too high.,One day I wanted to cook a nice dinner for my family. I decided to cook spaghetti. I boiled the noodles and put the sauce in a pot on the stove. I turned the wrong stove burner on too high while the one with suace remained off.,It took forever for the sauce to heat up.
97,Nick was challenged to a volleyball match. His girlfriend bet him five dollars she could beat him. Nick did not intend to let her win! He played hard and mercilessly.,Nick was challenged to a volleyball match. His girlfriend bet him five dollars she could beat him. Nick was rich and five dollars was nothing to him.,Nick gave up because he didn't care if his girlfriend won.
98,Some friends and I made a Counter-Strike team. We practiced a lot for the upcoming tournament. We got to the tournament and went over strategies. We played a tough 6 games.,Some friends and I made a Counter-Strike team. We barely practiced for the upcoming tournament. We got to the tournament and miscalculated our moves. We lost our every game.,We felt we had performed badly.
99,"Michelle found a fat tuxedo cat outside her house. She put up posters all over her neighborhood. After three weeks, no one had called Michelle about the cat. Michelle decided to keep the cat for herself.","Michelle found a fat tuxedo cat outside her house. She put up posters all over her neighborhood. After three weeks, no one had called Michelle about the cat. Michelle started to feel allergic to the cat.",Michelle gave the cat to her neighbor.
100,"Neil was visiting Ireland. His train had just arrived in Derry. As he disembarked, he caught his breath. It was as gorgeous as a fairy tale!","Neil was visiting Ireland. His train had just arrived in Derry. As he disembarked, he caught his breath. It was dark, windy and rainy.",Neil decided never to return to Ireland.
101,Mary went to the park. She wanted to show off her new dress. A bird flew over Mary and pooped. Her dress became covered in bird poop.,Mary went to the park. She wanted to show off her new dress. A bird flew over Mary and Mary chased after it. Her friends photographed that natural moment.,Mary was happy to be showing off her dress.
102,"Scott knew someone was stealing packages from his porch. He set up a surveillance camera near his door. He felt that he would at least have a video of the thief. One day, Scott saw footage of the perpetrator moving packages into their truck.","Scott knew someone was stealing packages from his porch. He set up a surveillance camera near his door. He felt that he would at least have a video of the thief. One day, Scott saw footage of his neighbor moving packages into his secure garage for him.",Scott gave him a high five.
103,Last Tuesday I took my first spin class at the gym. It was the hardest exercise class I ever took. I worked through it for an hour and my legs went numb. When I got home my legs started to hurt and I couldn't walk.,"Last Tuesday I took my first spin class at the gym. I found it to be an easy class as I regularly squatted at the gym. I worked through it for an hour and my legs felt nothing. When I got home, I still had enough energy to do another workout.",I felt like I could run a marathon.
104,Sally forgot to each breakfast before she left the house yesterday. She debated whether to go back and get something to eat. She decided to pick up a meal on the way to work. She realized that she forgot her wallet and could not buy breakfast.,Sally forgot to each breakfast before she left the house yesterday. She debated whether to go back and get something to eat. She decided to pick up a meal on the way to work. On her way to work she felt very hungry and wanted something hearty.,Sally then bought a large breakfast.
106,"Ann and Tim loved astronomy. In fact, the met while they were both in astronomy class in college! When they married and became pregnant, they had a dilemma. They couldn't decide on a meaningful name for their baby daughter.","Ann and Tim loved animals. In fact, the met while they were both at vet school! When they married and got a cat, they had a dilemma. They couldn't decide on a meaningful name for their fur baby.",Tim and Anna decided they would ask their veterinarian.
107,Fred is brand new to exercising and just joined a gym. He was amazed at how expensive a personal trainer was. He wanted to get into shape but couldn't afford the rates. He found personal trainer routines online for free.,Fred is brand new to exercising and just joined a gym. He was amazed at how expensive a personal trainer was. He wanted to get into shape but couldn't afford the rates. He decided working on his diet and nutrition would be enough.,He never worked out again.
108,It was the second match of the volleyball season. Amy was hopeful she would get a chance to play. After the first game they were ahead. Her coach put her in the game.,It was the second match of the volleyball season. After the first game they were ahead. Her coach put her in the game. But Amy suddenly felt a sharp pain in her knee.,She asked the coach to find someone else.
109,Ellen had had four miscarriages in a row. Ellen was becoming depressed and her husband Tim despaired of ever becoming a dad. Then the doctor called him at work. The doctor explained that there was great news about Ellen.,"Ellen had had four miscarriages in a row. Her husband, Tim, was worried she was becoming depressed, as she wouldn't leave bed to do anything. Then the doctor called him at work. The doctor explained that Ellen's sudden burst of energy was a concerning sign of a manic episode.",The doctor told Tim that Ellen went for a run.
110,"David asked his mother if he could pour his own drink. His mother agreed, but warned him to be careful. David accidentally knocked over his glass which shattered everywhere. His mother cheerfully forgave David.","David asked his mother if he could pour his own drink. His mother agreed, but warned him to be careful. David accidentally knocked over his glass which shattered everywhere. His mother told him to go get fast food while she cleaned up the mess.",David ate a cheeseburger.
111,Neil wanted to play hockey. He borrowed some gear from his friends. Then he geared up and headed to the rink. He practiced for days and was eager to become a hockey player.,Neil wanted to play hockey. He borrowed some gear from his friends. Then he geared up and headed to the rink. He quickly he did not enjoy it and wanted to play another ball sport.,Neil played baseball.
112,I kept my baby blanket in good shape. I had it for 30 years. I moved away from my home. My baby blanket disappeared.,I kept my baby blanket in good shape. I had it for 30 years. I moved away from my home and I took it with me.,I sleep with my baby blanket every night.
113,"My friend  Cam was an Amazon bookseller. He had 4,000 books stored in a garage. He made enough money to live simply. His house caught on fire one day and he lost his collection.","My friend Cam was an Amazon bookseller. He had 4,000 books stored in a garage. He made enough money to live simply. One day his neighbors decided to give away all their books to him.","Afterwards, Cam was able to sell more books than he ever had."
114,"Rosie's teacher's birthday was coming up in 5 days. Rosie did not have money to buy a present. She asked her grandmother to teach her how to draw sunflowers. Rosie drew a big sunflower and painted it with watercolor, thinking it would make her teacher smile.","Rosie's teacher's birthday was coming up in 5 days. Rosie did not have money to buy a present. She asked her grandmother to teach her how to draw sunflowers. Rosie drew a big sunflower and wrote an offensive joke beneath it, thinking it would be funny.",Rosie's teacher gave her detention.
